"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1643",1.8475,1.896786,1.844643,1.870357,1024542400,1.605919
"1644",1.898571,1.923214,1.851786,1.889286,1000448400,1.622172
"1645",1.891429,1.967143,1.87,1.932143,1390743200,1.658969
"1646",2.177143,2.199643,2.132857,2.160714,1972146400,1.855224
"1647",2.136429,2.183929,2.13,2.168571,891892400,1.861971
"1648",2.187857,2.217857,2.158214,2.193571,722856400,1.883436
"1649",2.206429,2.2175,2.170714,2.211786,589069600,1.899076
"1650",2.214286,2.308571,2.202857,2.281071,898427600,1.958565
"1651",2.303571,2.322143,2.245,2.264286,735044800,1.944154
"1652",2.283571,2.345714,2.267857,2.3425,691507600,2.011309
"1653",2.386786,2.451071,2.367143,2.427143,892841600,2.083984
"1654",2.400714,2.426071,2.355,2.399286,711765600,2.060066
"1655",2.416071,2.452857,2.411071,2.434286,550768400,2.090118
"1656",2.425357,2.5,2.421786,2.485357,841044400,2.133969
"1657",2.394643,2.450357,2.32,2.439286,1852866400,2.094411
"1658",2.418571,2.485714,2.368214,2.400357,1245512800,2.060986
"1659",2.396071,2.396786,2.303929,2.313571,997864000,1.98647
"1660",2.336786,2.342857,2.264286,2.271071,955838800,1.949979
"1661",2.258929,2.314643,2.239286,2.288214,697760000,1.964698
"1662",2.258214,2.290357,2.235,2.273214,777529200,1.951819
"1663",2.2875,2.329286,2.271429,2.283571,717620400,1.960711
"1664",2.333571,2.375,2.314286,2.373214,861352800,2.03768
"1665",2.396429,2.431071,2.368929,2.427857,781284000,2.084597
"1666",2.428571,2.452143,2.399286,2.413929,581148400,2.072638
"1667",2.418214,2.442857,2.402143,2.425357,536354000,2.082451
"1668",2.403571,2.403929,2.3625,2.377143,526226400,2.041054
"1669",2.381429,2.44,2.375,2.415,576968000,2.073558
"1670",2.428571,2.451786,2.390714,2.403929,536258800,2.064052
"1671",2.424643,2.435357,2.366786,2.421786,655191600,2.079386
"1672",2.405,2.466071,2.403929,2.455357,543958800,2.10821
"1673",2.446429,2.450357,2.381429,2.392143,738161200,2.053933
"1674",2.3925,2.402143,2.325714,2.374286,947332400,2.038601
"1675",2.405,2.422143,2.381429,2.391429,680142400,2.053319
"1676",2.402857,2.439286,2.380714,2.423214,574697200,2.080612
"1677",2.445714,2.451786,2.422143,2.442143,408494800,2.096864
"1678",2.463214,2.553571,2.448214,2.552857,1012457600,2.191925
"1679",2.538571,2.560357,2.489286,2.501071,974103200,2.14746
"1680",2.521429,2.624286,2.508929,2.6,1267957600,2.232402
"1681",2.620357,2.6275,2.568214,2.59,895921600,2.223817
"1682",2.586786,2.633214,2.550714,2.589286,949124400,2.223203
"1683",2.600357,2.623214,2.551786,2.593929,1684687200,2.22719
"1684",2.601786,2.654286,2.582143,2.65,1146138000,2.275333
"1685",2.632857,2.666786,2.623571,2.648929,801729600,2.274414
"1686",2.664286,2.677857,2.6175,2.646429,981853600,2.272267
"1687",2.635714,2.673571,2.617857,2.638929,705278000,2.265828
"1688",2.646429,2.655714,2.6,2.634643,710049200,2.262147
"1689",2.656429,2.702857,2.650714,2.687857,822791200,2.307838
"1690",2.6875,2.716429,2.643571,2.666071,794124800,2.289132
"1691",2.653571,2.655,2.592143,2.607143,665112000,2.238536
"1692",2.636071,2.709286,2.632857,2.705357,858992400,2.322864
"1693",2.720714,2.777857,2.717857,2.771786,1102948000,2.379901
"1694",2.756071,2.766786,2.707857,2.728929,810373200,2.343104
"1695",2.750714,2.767143,2.7125,2.750357,723609600,2.361502
"1696",2.753929,2.768571,2.738571,2.749286,405812400,2.360582
"1697",2.682143,2.709643,2.653571,2.673571,712639200,2.295573
